# Wordlist

# DATA
ID	DOCULECT	IPA	COUNTERPART	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES	ALIGNMENT
489	moco1246	jim	jim	I	j i m	6 7 4	AXN	JIM	60	60.J.C 60.I.V 60.M.c	2.0 1.5 0.8	0	60	j i m
492	mose1249	jäe	jäe	I	j ä e	6 7 7	AXZ	JAE	61	61.J.C 61.A.V 61.E.V	2.0 1.5 0.8	0	61	j ä e
496	muni1258	nü	nü	I	n ü	4 7	AX	NY	64	64.N.C 64.Y.V	2.0 1.5	0	64	n ü
500	nort2980	yaʔa	yaʔa	I	y a ʔ a	7 7 1 7	XYBZ	YAHA	69	69.Y.V 69.A.V 69.H.C 69.A.V	1.5 1.3 1.75 0.8	0	69	- - y a ʔ a
504	nort2973	ɲuka	ɲuka	I	ɲ u k a	4 7 1 7	AXBZ	NYKA	68	68.N.C 68.Y.V 68.K.C 68.A.V	2.0 1.5 1.75 0.8	0	8	ɲ u k a
508	ocai1244	xooúnh	xooúnh	I	x oo ú n h	3 7 7 4 3	AXYLN	GUYNH	70	70.G.C 70.U.V 70.Y.V 70.N.c 70.H.c	2.0 1.5 1.3 1.1 0.8	0	70	x oo ú n h
512	onaa1245	ja	ja	I	j a	6 7	AX	JA	71	71.J.C 71.A.V	2.0 1.5	0	71	j a
516	pira1253	ti	ti	I	t i	1 7	AX	TI	77	77.T.C 77.I.V	2.0 1.5	1	40	- - t i
520	puel1244	kwa	kwa	I	k w a	1 6 7	ACX	KWA	78	78.K.C 78.W.C 78.A.V	2.0 1.5 1.5	0	45	k w a
524	puqu1242	ni	ni	I	n i	4 7	AX	NI	81	81.N.C 81.I.V	2.0 1.5	0	64	n i
528	qawa1238	t͡ʃe	t͡ʃe	I	t͡ʃ e	2 7	AX	CE	82	82.C.C 82.E.V	2.0 1.5	1	75	t͡ʃ e
532	sanb1242	an	an	I	a n	7 4	XN	AN	83	83.A.V 83.N.c	1.5 0.8	0	5	- a n - -
536	ship1254	e	e	I	e	7	X	E	86	86.E.V	1.5	0	32	- e
540	shua1257	wi	wi	I	w i	6 7	AX	WI	87	87.W.C 87.I.V	2.0 1.5	0	87	w i
544	sout2996	naja	naja	I	n a j a	4 7 6 7	AXBZ	NAJA	90	90.N.C 90.A.V 90.J.C 90.A.V	2.0 1.5 1.75 0.8	0	90	n a j a
548	tari1256	nu	nu	I	n u	4 7	AX	NY	92	92.N.C 92.Y.V	2.0 1.5	0	92	n u
552	tehu1242	ja:	ja:	I	j a:	6 7	AX	JA	93	93.J.C 93.A.V	2.0 1.5	0	93	j a:
556	toba1269	ajem	ajem	I	a j e m	7 6 7 4	XBYN	AJEM	94	94.A.V 94.J.C 94.E.V 94.M.c	1.5 1.75 1.3 0.8	0	94	a j e m
559	urar1246	kanʉ	kanʉ	I	k a n ʉ	1 7 4 7	AXBZ	KANY	98	98.K.C 98.A.V 98.N.C 98.Y.V	2.0 1.5 1.75 0.8	0	24	- - k a n ʉ
563	wich1262	nɬam	nɬam	I	n ɬ a m	4 5 7 4	ACXN	NLAM	106	106.N.C 106.L.C 106.A.V 106.M.c	2.0 1.5 1.5 0.8	0	79	- n ɬ - a m
567	xava1240	ʔwa	ʔwa	I	ʔ w a	1 6 7	ACX	HWA	108	108.H.C 108.W.C 108.A.V	2.0 1.5 1.5	0	108	ʔ w a
570	yama1264	haj	haj	I	h a j	3 7 6	AXN	HAJ	110	110.H.C 110.A.V 110.J.c	2.0 1.5 0.8	0	19	h a j - - -
574	yane1238	na	na	I	n a	4 7	AX	NA	112	112.N.C 112.A.V	2.0 1.5	0	6	- - n - a - - -
578	yano1262	ya	ya	I	y a	7 7	XZ	YA	113	113.Y.V 113.A.V	1.5 0.8	0	16	y - a
582	mill1237	ku	ku	I	k u	1 7	AX	KY	58	58.K.C 58.Y.V	2.0 1.5	0	8	- - k u
583	dama1000	ra	ra	I	r a	5 7	AX	RA	30	30.R.C 30.A.V	2.0 1.5	0	30	r a
584	sech1236	ɲi	ɲi	I	ɲ i	4 7	AX	NI	85	85.N.C 85.I.V	2.0 1.5	0	85	ɲ i
#
